Priority,Status,Resolution,Count,Avg days to resolve,Avg hours to resolve
Blocker,Master,Resolved,2,0.000000,3.000000
Blocker,Live,Done,1,0.000000,8.000000
Blocker,Cancelled,Done,6,0.833333,18.833333
Blocker,Cancelled,Won't Resolve,10,1.600000,33.600000
Blocker,Live,Resolved,448,1.830357,44.950893
Blocker,Cancelled,Duplicate,17,1.882353,43.294118
Blocker,Cancelled,Resolved,40,1.950000,43.125000
Blocker,Cancelled,Not Our Issue,8,2.000000,46.500000
Blocker,Cancelled,Incomplete,3,2.333333,53.333333
Blocker,Reverted,Resolved,6,2.666667,64.166667
Blocker,Cancelled,Cannot Reproduce,8,3.375000,80.625000
Blocker,Cancelled,Won't Do,10,4.000000,92.100000
Critical,Cancelled,Not Our Issue,57,8.649123,204.000000
Critical,Cancelled,Incomplete,5,9.200000,216.400000
Critical,Master,Resolved,3,10.333333,248.000000
Critical,Cancelled,Done,4,11.000000,258.500000
Critical,Reverted,Resolved,6,12.833333,305.666667
Critical,Live,Resolved,906,16.740618,401.241722
Critical,Cancelled,Duplicate,60,19.816667,473.000000
Critical,Cancelled,Resolved,106,30.584906,732.226415
Critical,Cancelled,Won't Resolve,51,35.960784,861.137255
Critical,Cancelled,Cannot Reproduce,22,59.272727,1420.045455
Critical,Cancelled,Won't Do,20,86.000000,2060.500000
Critical,Live,Done,5,107.200000,2568.200000
Critical,Done,Resolved,8,256.875000,6161.750000
Critical,Cancelled,Timeout,5,281.400000,6746.400000
Major,Cancelled,Unrelated to Project (SSD),1,1.000000,21.000000
Major,Live,Won't Resolve,1,16.000000,370.000000
Major,Cancelled,Not Our Issue,261,28.555556,683.927203
Major,Live,Done,10,41.900000,1001.700000
Major,Live,Resolved,2867,50.780956,1217.845134
Major,Cancelled,Done,36,53.194444,1275.222222
Major,Cancelled,Duplicate,342,64.596491,1548.839181
Major,Master,Resolved,19,67.842105,1627.473684
Major,Cancelled,Cannot Reproduce,125,79.912000,1915.496000
Major,Cancelled,Incomplete,49,81.367347,1949.673469
Major,Cancelled,Resolved,430,95.111628,2280.844186
Major,Cancelled,Won't Resolve,470,126.495745,3034.751064
Major,Work in Progress,Resolved,1,148.000000,3549.000000
Major,Reverted,Resolved,28,164.892857,3955.928571
Major,Cancelled,Won't Do,297,245.666667,5893.925926
Major,Done,Resolved,39,267.384615,6413.641026
Major,Cancelled,Timeout,64,375.078125,8997.656250
Minor,Cancelled,Unrelated to Project (SSD),2,30.000000,719.500000
Minor,Cancelled,Not Our Issue,152,35.013158,838.611842
Minor,Live,Resolved,3675,52.992109,1270.755374
Minor,Reverted,Resolved,15,73.866667,1773.866667
Minor,Live,Done,10,74.900000,1796.800000
Minor,Master,Resolved,40,100.600000,2414.975000
Minor,Cancelled,Done,35,105.514286,2528.800000
Minor,Cancelled,Duplicate,455,115.468132,2769.015385
Minor,Cancelled,Cannot Reproduce,201,132.676617,3183.398010
Minor,Cancelled,Incomplete,64,148.515625,3559.000000
Minor,Cancelled,Resolved,681,193.679883,4646.750367
Minor,Cancelled,Won't Resolve,993,225.951662,5421.419940
Minor,Cancelled,Won't Do,641,355.031201,8519.460218
Minor,Done,Resolved,102,371.205882,8907.950980
Minor,Work in Progress,Resolved,1,381.000000,9151.000000
Minor,Cancelled,Timeout,125,494.328000,11857.752000
Trivial,Cancelled,Done,2,25.000000,603.000000
Trivial,Live,Resolved,83,42.614458,1021.493976
Trivial,Cancelled,Not Our Issue,7,108.428571,2602.142857
Trivial,Cancelled,Cannot Reproduce,6,121.000000,2907.666667
Trivial,Master,Resolved,2,168.500000,4041.500000
Trivial,Cancelled,Resolved,21,197.190476,4731.380952
Trivial,Cancelled,Won't Resolve,53,271.226415,6510.339623
Trivial,Cancelled,Duplicate,16,302.875000,7268.125000
Trivial,Cancelled,Won't Do,42,352.309524,8452.642857
Trivial,Cancelled,Timeout,7,625.428571,15000.857143
