,STATUS,UniqueIssues,Issues,Reassignments,AVG_DAY,MAX_DAYS,MIN_DAYS
0,Ready for Work,,,,,,
1,Ready for Work,,,,,,
2,Ready for Work,,,,,,
3,Ready for Work,,,,,,
4,Ready for Work,,,,,,
5,Ready for Work,,,,,,
6,Ready for Work,,,,,,
7,Ready for Work,,,,,,
8,Ready for Work,,,,,,
9,Ready for Work,,,,,,
10,Ready for Work,,,,,,
11,Ready for Work,,,,,,
12,Ready for Work,,,,,,
13,Ready for Work,,,,,,
14,Ready for Work,,,,,,
15,Ready for Work,,,,,,
16,Ready for Work,,,,,,
17,Ready for Work,,,,,,
18,Ready for Work,,,,,,
19,Ready for Work,,,,,,
20,Ready for Work,,,,,,
21,Ready for Work,,,,,,
22,Ready for Work,,,,,,
23,Ready for Work,,,,,,
24,Ready for Work,,,,,,
25,Ready for Work,,,,,,
26,Ready for Work,,,,,,
27,Ready for Work,,,,,,
28,Ready for Work,,,,,,
29,Ready for Work,,,,,,
30,Ready for Work,,,,,,
31,Ready for Work,,,,,,
32,Ready for Work,,,,,,
33,Ready for Work,,,,,,
34,Ready for Work,,,,,,
35,Ready for Work,,,,,,
36,Ready for Work,,,,,,
37,Ready for Work,,,,,,
38,Ready for Work,,,,,,
39,Ready for Work,,,,,,
40,Ready for Work,,,,,,
41,Ready for Work,,,,,,
42,Ready for Work,,,,,,
43,Ready for Work,,,,,,
44,Ready for Work,,,,,,
45,Ready for Work,,,,,,
46,Ready for Work,,,,,,
47,Ready for Work,,,,,,
48,Ready for Work,,,,,,
49,Ready for Work,,,,,,
50,Ready for Work,,,,,,
51,Ready for Work,,,,,,
52,Ready for Work,,,,,,
53,Ready for Work,,,,,,
54,Ready for Work,,,,,,
55,Ready for Work,,,,,,
56,Ready for Work,,,,,,
57,Ready for Work,,,,,,
58,Ready for Work,,,,,,
59,Ready for Work,,,,,,
60,Ready for Work,,,,,,
61,Ready for Work,,,,,,
62,Ready for Work,,,,,,
63,Ready for Work,,,,,,
64,Ready for Work,,,,,,
65,Ready for Work,,,,,,
66,Ready for Work,,,,,,
67,Ready for Work,,,,,,
68,Ready for Work,,,,,,
69,Ready for Work,,,,,,
70,Ready for Work,,,,,,
71,Ready for Work,,,,,,
72,Ready for Work,,,,,,
73,Ready for Work,,,,,,
74,Ready for Work,,,,,,
75,Ready for Work,,,,,,
76,Ready for Work,,,,,,
77,Ready for Work,,,,,,
78,Ready for Work,,,,,,
79,Ready for Work,,,,,,
80,Ready for Work,,,,,,
81,Ready for Work,,,,,,
82,Ready for Work,,,,,,
83,Ready for Work,,,,,,
84,Ready for Work,,,,,,
85,Ready for Work,,,,,,
86,Ready for Work,,,,,,
87,Ready for Work,,,,,,
88,Ready for Work,,,,,,
89,Ready for Work,,,,,,
90,Ready for Work,,,,,,
91,Ready for Work,,,,,,
92,Ready for Work,,,,,,
93,Ready for Work,,,,,,
94,Ready for Work,,,,,,
95,Ready for Work,,,,,,
96,Ready for Work,,,,,,
97,Ready for Work,,,,,,
98,Ready for Work,,,,,,
99,Ready for Work,,,,,,
100,Ready for Work,,,,,,
101,Ready for Work,,,,,,
102,Ready for Work,,,,,,
103,Ready for Work,,,,,,
104,Ready for Work,,,,,,
105,Ready for Work,,,,,,
106,Ready for Work,,,,,,
107,Ready for Work,,,,,,
108,Ready for Work,,,,,,
109,Ready for Work,,,,,,
110,Ready for Work,,,,,,
111,Ready for Work,,,,,,
112,Ready for Work,,,,,,
113,Ready for Work,,,,,,
114,Ready for Work,,,,,,
115,Ready for Work,,,,,,
116,Ready for Work,,,,,,
117,Ready for Work,,,,,,
118,Ready for Work,,,,,,
119,Ready for Work,,,,,,
120,Ready for Work,,,,,,
121,Ready for Work,,,,,,
122,Ready for Work,,,,,,
123,Ready for Work,,,,,,
124,Ready for Work,,,,,,
125,Ready for Work,,,,,,
126,Ready for Work,,,,,,
127,Ready for Work,,,,,,
128,Ready for Work,,,,,,
129,Ready for Work,,,,,,
130,Ready for Work,,,,,,
131,Ready for Work,,,,,,
132,Ready for Work,,,,,,
133,Ready for Work,,,,,,
134,Ready for Work,,,,,,
135,Ready for Work,,,,,,
136,Ready for Work,,,,,,
137,Ready for Work,,,,,,
138,Ready for Work,,,,,,
139,Ready for Work,,,,,,
140,Ready for Work,,,,,,
141,Ready for Work,,,,,,
142,Ready for Work,,,,,,
143,Ready for Work,,,,,,
144,Ready for Work,,,,,,
145,Ready for Work,,,,,,
146,Ready for Work,,,,,,
147,Ready for Work,,,,,,
148,Ready for Work,,,,,,
149,Ready for Work,,,,,,
150,Ready for Work,,,,,,
151,Ready for Work,,,,,,
152,Ready for Work,,,,,,
153,Ready for Work,,,,,,
154,Ready for Work,,,,,,
155,Ready for Work,,,,,,
156,Ready for Work,,,,,,
157,Ready for Work,,,,,,
158,Ready for Work,,,,,,
159,Ready for Work,,,,,,
160,Ready for Work,,,,,,
161,Ready for Work,,,,,,
162,Ready for Work,,,,,,
163,Ready for Work,,,,,,
164,Ready for Work,,,,,,
165,Ready for Work,,,,,,
166,Ready for Work,,,,,,
167,Ready for Work,,,,,,
168,Ready for Work,,,,,,
169,Ready for Work,,,,,,
170,Ready for Work,,,,,,
171,Ready for Work,,,,,,
172,Ready for Work,,,,,,
173,Ready for Work,,,,,,
174,Ready for Work,,,,,,
175,Ready for Work,,,,,,
176,Ready for Work,,,,,,
177,Ready for Work,,,,,,
178,Ready for Work,,,,,,
179,Ready for Work,,,,,,
180,Ready for Work,,,,,,
181,Ready for Work,,,,,,
182,Ready for Work,,,,,,
183,Ready for Work,,,,,,
184,Ready for Work,,,,,,
185,Ready for Work,,,,,,
186,Ready for Work,,,,,,
187,Ready for Work,,,,,,
188,Ready for Work,,,,,,
189,Ready for Work,,,,,,
190,Ready for Work,,,,,,
191,Ready for Work,,,,,,
192,Ready for Work,,,,,,
193,Ready for Work,,,,,,
194,Ready for Work,,,,,,
195,Ready for Work,,,,,,
196,Ready for Work,,,,,,
